,Unnamed: 0,Unnamed: 0.1,ReviewID,Page Type,Full Text,Rating,Segments,Hedonic Motivation,Connectivity Support,Customizability,Perceived Ease of Use,Appeal,Perceived Value,Perceived Usefulness,Device Quality,Credibility Support
655,655,28417,28418,review,love this apple watch! bought for a family member after having the same watch myself. can't say enough great things about it for the price!,5,"[ 'love this apple watch ! bought for a family member ' , 'after having the same watch myself . ' , 'can ' t say ' , 'enough great thing ' , 'about it for the price ! ' ]",0,0,0,0,0,1,0,0,0
657,657,29833,29834,review,really nice watch band. it feels cool to the touch and smooth. fits really well and looks great with my apple watch. easy to install and use.,5,"[ 'really nice watch band . it feel cool to the touch and smooth . ' , 'fits really well ' , 'and look great with my apple watch . easy ' , 'to install and use . ' ]",0,0,0,1,1,0,0,0,0
658,658,29972,29973,review,apple watch purchased for my college student. love that it captures physical activity with accuracy. works great and never had a single issue,5,"[ 'apple watch purchased for my college student . ' , 'love that it capture physical activity with accuracy . work great ' , 'and never had a single issue ' ]",0,0,0,0,0,0,0,0,1
660,660,30103,30104,review,fitbit - versa 2 smartwatch 40mm aluminum - black/carbon with silicone band\n\nexcellent watch for the price point. step count very accurate.,5,"[ 'fitbit -  smartwatch 40mm aluminum - black/carbon with silicone band\\n\\nexcellent watch for the price point . ' , 'step count very accurate . ' ]",0,0,0,0,0,0,0,0,1
663,663,31755,31756,review,"i ordered a second charging cable to keep at work, always good to have a spare. love how easy it is to recharge my apple watch! thanks apple.",5,"[ ' i ordered a second charging cable ' , 'to keep at work , ' , 'always good to have a spare . ' , 'love how easy it is to recharge my apple watch ! thanks apple . ' ]",0,0,0,1,0,0,0,0,0
665,665,32365,32366,review,"i love the product so much i've never had any problem with the charge series. they always last me a long time, fitbit over apple watch anyday",5,"[ ' i love the product so much ' , `` i 've never had any problem with the charge series . `` , 'they always last me a long time , fitbit over apple watch anyday ' ]",0,0,0,0,0,0,0,1,0
666,666,32382,32383,review,"best apple watch out there. very durable, informative and just all around a great watch. happy i decided to purchase this one to replace my 3",5,"[ 'best apple watch out there . very durable , informative and just all around a great watch . ' , 'happy i decided to purchase this one ' , 'to replace my 3 ' ]",1,0,0,0,0,0,0,0,0
668,668,33043,33044,review,i find that this is a great way to track my rowing - on the water and on the rowing machine (erg). much longer battery life than apple watch.,5,"[ ' i find ' , 'that this is a great way ' , 'to track my rowing - on the water and on the rowing machine ' , ' ( erg ) . ' , 'much longer battery life than apple watch . ' ]",0,0,0,0,0,0,0,0,0
670,670,34406,34407,review,"loved the price compared to the other apple watches. even though it was a previous generation, still has the same functions in an apple watch",5,"[ 'loved the price ' , 'compared to the other apple watch . ' , 'even ' , 'though it wa a previous generation , ' , 'still ha the same function in an apple watch ' ]",0,0,0,0,0,1,0,0,0
671,671,35049,35050,review,apple watch 7 is easy to use. it is the first apple watch i have owned. i love being able to answer calls without having to dig for my phone.,5,"[ 'apple watch 7 is easy to use . ' , 'it is the first apple watch i have owned . ' , ' i love being able to answer call ' , 'without having to dig for my phone . ' ]",0,0,0,1,0,0,0,0,0
675,675,3045,3046,review,i found this expensive and not a better quality than cheap ones off amazon. inevitably it failed an i went back to the apple watch wrist band.,2,"[ ' i found this expensive and not a better quality than cheap one off amazon . inevitably ' , 'it failed an i went back to the apple watch wrist band . ' ]",0,0,0,0,0,0,0,0,0
676,676,3994,3995,review,"so far so good. try not to let your apple watch depleted of charge, otherwise, it is a slow process to charge it back up with this power bank.",3,"[ 'so far so good . ' , 'try not to let your apple watch depleted of charge , otherwise , ' , 'it is a slow process ' , 'to charge ' , 'it back up with this power bank . ' ]",0,0,0,0,0,0,0,1,0
677,677,5739,5740,review,"i loved this fit bit, but the screen cracked very quickly even with a case. i upgraded to the fitbit versa lite and haven't been disappointed.",4,"[ ' i loved this fit bit , ' , 'but the screen cracked very quickly even with a case . ' , ' i upgraded to the  ' , `` and have n't been disappointed . '' ]",0,0,0,0,0,0,0,0,0
678,678,5823,5824,review,good watch works great with galaxy phone. it doesn't have the same ease of use as the apple watch but it's the best watch for samsung devices.,4,"[ 'good watch work great with galaxy phone . ' , `` it doe n't have the same ease of use a the apple watch '' , `` but it 's the best watch for samsung device . '' ]",0,0,0,0,0,0,0,0,0
679,679,5952,5953,review,love my apple watch! it is very comfortable to wear and easy to adapt and make changes to the screen. also like that i can track sleep cycles.,4,"[ 'love my apple watch ! it is very comfortable to wear and easy to adapt and make change to the screen . ' , 'also like ' , 'that i can track sleep cycle . ' ]",0,0,0,1,0,0,0,0,0
680,680,6194,6195,review,this fitbit is a replacement for fitbit versa which lasted only a little over a year which replaced another which lasted only about 18 months.,4,"[ 'this fitbit is a replacement for  ' , 'which lasted only a little over a year ' , 'which replaced another ' , 'which lasted only about 18 month . ' ]",0,0,0,0,0,0,0,0,0
681,681,8114,8115,review,"i am slowly replacing my old outlets with the usb outlets in the home, this works fine to charge phone or apple watch, charging is slow though",4,"[ ' i am slowly replacing my old outlet with the usb outlet in the home , ' , 'this work fine to charge phone or apple watch , ' , 'charging is slow though ' ]",0,0,0,0,0,0,0,1,0
682,682,8191,8192,review,great fit for the apple watch. i do have a spot that lifted from catching on some thing and it shows. can't fix it but otherwise item is great,4,"[ 'great fit for the apple watch . i do have a spot ' , 'that lifted from catching on some thing ' , `` and it show . ca n't fix it '' , 'but otherwise item is great ' ]",0,0,0,0,0,0,0,0,0
683,683,8527,8528,review,"good apple watch happy with purchase, bought to replace old one. old one had no physical issues but just wasn't holding charge long anymore.",4,"[ 'good apple watch happy with purchase , ' , 'bought to replace old one . ' , 'old one had no physical issue ' , 'but just wasn ' t holding charge long anymore . ' ]",1,0,0,0,0,0,0,0,0
684,684,9022,9023,review,this was a gift to upgrade my wife's apple watch which she has enjoyed and uses it to track her exercise. the newer watch has more features.,5,"[ 'this wa a gift ' , 'to upgrade my wife ' s apple watch ' , 'which she ha enjoyed ' , 'and us it ' , 'to track her exercise . ' , 'the newer watch ha more feature . ' ]",0,0,0,0,0,0,1,0,0
685,685,9570,9571,review,updated my apple watch and very satisfied with purchase and customer service. actually went back to the store and bought a 2nd one for myself.,5,"[ 'updated my apple watch ' , 'and very satisfied with purchase and customer service . ' , 'actually went back to the store ' , 'and bought a 2nd one for myself . ' ]",1,0,0,0,0,0,0,0,0
686,686,9623,9624,review,my first edition apple watch finally died so i decided to get a new one. absolutely love the 6th generation. love the rose gold color as well.,5,"[ 'my first edition apple watch finally died ' , 'so i decided to get a new one . absolutely love the 6th generation . ' , 'love the rose gold color a well . ' ]",0,0,0,0,1,0,0,0,0
688,688,10370,10371,review,"love my apple watch and how it keeps me motivated to stay fit, reminds me to take a moment to breathe and monitors my heart health. it's dope!",5,"[ 'love my apple watch and how it keep me motivated to stay fit , ' , 'reminds me to take a moment to breathe and monitor my heart health . ' , `` it 's dope ! '' ]",0,0,0,0,0,0,1,0,0
690,690,11309,11310,review,"my kid loves it. i got it for her for christmas. it was between this or an apple watch, i'd figured she'd use this more often. she was stoked!",5,"[ 'my kid love it . ' , ' i got it for her for christmas . ' , 'it wa between this or an apple watch , ' , `` i 'd figured '' , `` she 'd use this more often . `` , 'she wa stoked ! ' ]",0,0,0,0,0,0,0,0,0
691,691,11504,11505,review,great product i've had my apple watch for a longtime and has held up nice so i got my daughter one for graduation gift she's gonna be so happy,5,"[ 'great product ' , `` i 've had my apple watch for a longtime '' , 'and ha held up nice ' , 'so i got my daughter one for graduation gift ' , `` she 's gon na be so happy '' ]",1,0,0,0,0,0,0,0,0
692,692,11603,11604,review,i love my new fitbit charge 4. took me a few days to get use to it since i a fitbit altra for about 10 years. but i am glad i made the switch.,5,"[ ' i love my new  . took me a few day ' , 'to get use ' , 'to it since i a fitbit altra for about 10 year . ' , 'but i am ' , 'glad i made the switch . ' ]",0,0,0,0,0,0,0,0,0
693,693,11983,11984,review,got the watch for my fiancé. she absolutely loves it. it's apple fitness + compatible. very easy to use. was really cheap for a apple watch .,5,"[ 'got the watch for my fiancé . ' , 'she absolutely love it . ' , `` it 's apple fitness + compatible . very easy to use . `` , 'was really cheap for a apple watch . ' ]",0,0,0,1,0,0,0,0,0
694,694,12014,12015,review,bought this adapter to use with my apple watch because apple no longer provides power adapters with their products. works as i expected it to.,5,"[ 'bought this adapter to use with my apple watch ' , 'because apple no longer provides power adapter with their product . work ' , 'as i expected it to . ' ]",0,0,0,0,0,0,0,0,0
695,695,12173,12174,review,love my apple watch. nice up grade from my series 2 apple watch. i like that the watch face stays on all the time instead of going on and off.,5,"[ 'love my apple watch . nice up grade from my series 2 apple watch . ' , ' i like that the watch face stay on all the time ' , 'instead of going on and off . ' ]",0,0,0,0,0,0,0,0,0
696,696,12354,12355,review,series 3 is a great way to get introduced to the apple watch family at an affordable price. functionally is good and this is the perfect size.,5,"[ 'series 3 is a great way ' , 'to get introduced to the apple watch family at an affordable price . ' , 'functionally is good ' , 'and this is the perfect size . ' ]",0,0,0,0,1,1,0,0,0
697,697,12592,12593,review,hello best buy i love my apple watch series 3 38mm watch it keep me busy with my workout. reminder and i love so much i'm happy that i got it.,5,"[ 'hello best buy i love my  38mm watch ' , 'it keep me busy with my workout . reminder and i love ' , `` so much i 'm happy '' , 'that i got it . ' ]",1,0,0,0,0,0,0,0,0
698,698,12771,12772,review,"bought the watch for a christmas present for my son, he loved it. this is the second apple watch he has owned. will definitely be buying more.",5,"[ 'bought the watch for a christmas present for my son , ' , 'he loved it . ' , 'this is the second apple watch ' , 'he ha owned . ' , 'will definitely be buying more . ' ]",0,0,0,0,0,0,0,0,0
699,699,12945,12946,review,i absolutely love my apple watch. i waited a while before getting my first one and i wish i had not. it has made normal things so much easier.,5,"[ ' i absolutely love my apple watch . ' , ' i waited a while ' , 'before getting my first one and i wish ' , ' i had not . ' , 'it ha made normal thing so much easier . ' ]",0,0,0,0,0,0,0,0,0
700,700,13046,13047,review,love this watch. gave it as a gift and the recipient loves it. hard for her to take it off. it's a great entry level/first apple watch to own.,5,"[ 'love this watch . gave it a a gift and the recipient love it . ' , 'hard for her to take it off . ' , `` it 's a great entry level/first apple watch to own . '' ]",0,0,0,0,0,0,0,0,0
701,701,13054,13055,review,purchased this for my son for christmas. he loves it!! it's a perfect fit for his smaller wrist. the apple watch has so many great features.,5,"[ 'purchased this for my son for christmas . ' , 'he love it ! ! ' , 'it ' s a perfect fit for his smaller wrist . ' , 'the apple watch ha so many great feature . ' ]",0,0,0,0,0,0,0,0,0
703,703,13069,13070,review,this at least keeps the cable for the apple watch out of sight. the three other usb ports work fine even when all are in use at the same time.,5,"[ 'this at least keep the cable for the apple watch out of sight . ' , 'the three other usb port work fine ' , 'even when all are in use at the same time . ' ]",0,0,0,0,0,0,0,0,0
704,704,13266,13267,review,love the strap. it add more class to your apple watch and make people turn heads. you will not be disappointed on investing on this accessory.,5,"[ 'love the strap . it add more class ' , 'to your apple watch ' , 'and make people turn head . ' , 'you will not be disappointed on investing on this accessory . ' ]",0,0,0,0,1,0,0,0,0
705,705,13709,13710,review,love this watch. looks so much nicer than an apple watch. apple watch has it beat on software though. great watch if you have a samsung phone.,5,"[ 'love this watch . look so much nicer than an apple watch . ' , 'apple watch ha it beat on software though . great watch ' , 'if you have a samsung phone . ' ]",0,0,0,0,1,0,0,0,0
706,706,14103,14104,review,bought this as a gift and heard good things about it. i like that it has a decent battery life while has almost all features in a apple watch.,5,"[ 'bought this a a gift and heard good thing about it . ' , ' i like ' , 'that it ha a decent battery life ' , 'while ha almost all feature in a apple watch . ' ]",0,0,0,0,0,0,0,1,0
707,707,14844,14845,review,my son loves his apple watch! he wears it everywhere he goes. he loves the apps that he can get on it! apple always makes the best technology!,5,"[ 'my son love his apple watch ! he wear ' , 'it everywhere he go . ' , 'he love the apps ' , 'that he can get on it ! ' , 'apple always make the best technology ! ' ]",0,0,0,0,0,0,0,0,0
708,708,15421,15422,review,i love my apple watch 1! it's still going strong and is helping me keep track of my steps which helps me earn employee health cash incentives.,5,"[ ' i love my apple watch 1 ! ' , `` it 's still going strong '' , 'and is helping me keep track of my step ' , 'which help me earn employee health cash incentive . ' ]",0,0,0,0,0,0,0,0,0
709,709,16251,16252,review,i have been using apple watch 3 so far and this is surly upgrade to that. have some new features and activity tracking. bigger than mine 38 mm,5,"[ ' i have been using apple watch 3 so far ' , 'and this is surly upgrade to that . ' , 'have some new feature and activity tracking . bigger than mine 38 mm ' ]",0,0,0,0,0,0,1,0,0
710,710,16895,16896,review,had the fitbit versa prior to this and it worked for 3 days. only told the time but tracked everything on-line. this one has been much better.,5,"[ 'had the  prior to this ' , 'and it worked for 3 day . ' , 'only told the time but tracked everything on-line . this one ha been much better . ' ]",0,0,0,0,0,0,0,0,0
712,712,18024,18025,review,i got this as a gift for my wife and she loves it. she says it was a huge improvement over her apple watch which was the first model released.,5,"[ ' i got this a a gift for my wife ' , 'and she love it . ' , 'she say ' , 'it wa a huge improvement over her apple watch ' , 'which wa the first model released . ' ]",0,0,0,0,0,0,0,0,0
713,713,18142,18143,review,i recently purchased the apple watch series 3 and it has a lot of good features have given it to my youngest daughter and plan on buying the 5,5,"[ ' i recently purchased the  ' , 'and it ha a lot of good feature ' , 'have given it to my youngest daughter ' , 'and plan on buying the 5 ' ]",0,0,0,0,0,0,0,0,0
714,714,18247,18248,review,it makes the standard apple watch look more professional for when i have a meeting with clients.\n\nthey could improve the link changing tool.,5,"[ 'it make the standard apple watch look more professional ' , 'for when i have a meeting with clients.\\n\\nthey ' , 'could improve the link changing tool . ' ]",0,0,0,0,0,0,0,0,0
715,715,18350,18351,review,bought for my wife's birthday. it replaced an apple watch 2 and she is very happy with it. it does everything she wants and needs. very happy.,5,"[ `` bought for my wife 's birthday . it replaced an apple watch 2 '' , 'and she is very happy with it . ' , 'it doe everything she want and need . very happy . ' ]",1,0,0,0,0,0,0,0,0
716,716,18900,18901,review,bought this for my granddaughter for christmas. she loves it and set up activity challenges between her watch and mine. i love my apple watch.,5,"[ 'bought this for my granddaughter for christmas . ' , 'she love it ' , 'and set up activity challenge between her watch and mine . ' , ' i love my apple watch . ' ]",0,0,0,0,0,0,0,0,0
717,717,18902,18903,review,"i had an apple watch 2, it started messing up intermittently. my husband bought the apple watch 5 for me and i just love it. highly recommend.",5,"[ ' i had an apple watch 2 , ' , 'it started messing up intermittently . my husband ' , 'bought the apple watch 5 for me ' , 'and i just love it . highly recommend . ' ]",0,0,0,0,0,0,0,0,0
718,718,18908,18909,review,"this is my 3rd apple watch. i had series 2, 3 and now 5 and i love it!. so sleek, comfortable and charges so fast and lasts longer than the 4.",5,"[ 'this is my 3rd apple watch . ' , ' i had series 2 , 3 and now 5 and i love it ! . ' , 'so sleek , comfortable and charge ' , 'so fast and last longer than the 4 . ' ]",0,0,0,0,0,0,0,1,0
719,719,19273,19274,review,i bought this as a replacement for my original fitbit alta when it finally died. it took some getting use to but i like the apple watch so far,5,"[ ' i bought this a a replacement for my original  ' , 'when it finally died . ' , 'it took some getting use ' , 'to but i like the apple watch so far ' ]",0,0,0,0,0,0,0,0,0
720,720,19793,19794,review,"it's a great apple watch, but it looks like there no longer offering the apple watch 4 per apple.com which is strange. it functions very well.",5,"[ `` it 's a great apple watch , '' , 'but it look like there no longer offering the apple watch 4 per apple.com ' , 'which is strange . ' , 'it function very well . ' ]",0,0,0,0,0,0,0,0,0
722,722,19929,19930,review,"bought this for my little sister for christmas, she loves it, super easy to use and she can charge her phone and apple watch at the same time.",5,"[ 'bought this for my little sister for christmas , ' , 'she love it , ' , 'super easy to use ' , 'and she can charge her phone and apple watch at the same time . ' ]",0,0,0,1,0,0,0,0,0
723,723,20740,20741,review,having the apple watch has really help me keep visibility on my activity levels which has helped me increase my activity level per day by 47%.,5,"[ 'having the apple watch ha really help me keep visibility on my activity level ' , 'which ha helped me increase my activity level per day by 47 % . ' ]",0,0,0,0,0,0,1,0,0
725,725,20974,20975,review,"i always keep these in and take some with me to work and when i travel. they're great on laptops, phones, and even the face of my apple watch.",5,"[ ' i always keep these in and take some with me to work ' , 'and when i travel . ' , `` they 're great on laptop , phone , and even the face of my apple watch . '' ]",0,0,0,0,0,0,0,0,0
726,726,20995,20996,review,i had a fitbit charge 4 which died on me. i have wanted a samsung watch for a while to match my samsung s21 ultra phone. the watch is amazing.,5,"[ ' i had a  ' , 'which died on me . ' , ' i have wanted a for a while to match my samsung s21 ultra phone . ' , 'the watch is amazing . ' ]",0,0,0,0,0,0,0,0,0
727,727,21048,21049,review,love fitbit inspire 2. it's small and convenient. the battery lasts for a long time and it is so easy to use. it really has changed my life!,5,"[ 'love fitbit  . ' , 'it ' s small and convenient . the battery last for a long time ' , 'and it is so easy to use . ' , 'it really ha changed my life ! ' ]",0,0,0,1,0,0,0,0,0
728,728,21058,21059,review,bought this for my teenager. she wanted an apple watch but i wouldn't spend the money. i got her this and she is over the moon and loves it.,5,"[ 'bought this for my teenager . she wanted an apple watch ' , 'but i wouldn ' t spend the money . ' , ' i got her this ' , 'and she is over the moon ' , 'and love it . ' ]",0,0,0,0,0,0,0,0,0
729,729,21519,21520,review,"great apple watch and wort the price. nice and clean display and very very comfortable, you can literally wear it all the time. perfect watch.",5,"[ 'great apple watch and wort the price . nice and clean display and very very comfortable , ' , 'you can literally wear it all the time . perfect watch . ' ]",0,0,0,0,0,1,0,0,0
730,730,21726,21727,review,this is the third apple watch that i purchased. this is a very good price for christmas gifts. i wouldn't purchase anything but a apple watch.,5,"[ 'this is the third apple watch ' , 'that i purchased . this ' , 'is a very good price for christmas gift . ' , `` i would n't purchase anything but a apple watch . '' ]",0,0,0,0,0,1,0,0,0
731,731,21890,21891,review,"i had the apple watch 3 and it was great but i thought i would upgrade to the 4, and i have not regretted it ! fantastic watch ! both of them.",5,"[ ' i had the apple watch 3 ' , 'and it wa great ' , 'but i thought ' , ' i would upgrade to the 4 , ' , 'and i have not regretted it ! fantastic watch ! both of them . ' ]",0,0,0,0,0,0,0,0,0
732,732,22462,22463,review,"i love this watch so much better than my apple watch that my wife now uses. easier, better looking, better apps. samsung finally did it right.",5,"[ ' i love this watch so much better than my apple watch ' , 'that my wife now us . easier , ' , 'better looking , better apps . ' , 'samsung finally did it right . ' ]",0,0,0,0,0,0,0,0,0
733,733,22492,22493,review,got this instead of the apple watch because this is actually a nice watch and not the same style as the 1 gen apple watch that never changes..,5,"[ 'got this instead of the apple watch ' , 'because this is actually a nice watch and not the same style a the 1 gen apple watch ' , 'that never change .. ' ]",0,0,0,0,0,0,0,0,0
735,735,23628,23629,review,battery life is great lasted two days without charge! hooked up easy to my android phone! and it's cute and looks so close to a apple watch!,5,"[ 'battery life is great lasted two day ' , 'without charge ! ' , 'hooked up easy to my android phone ! and ' , 'it ' s cute and look so close to a apple watch ! ' ]",0,0,0,1,1,0,0,0,0
736,736,23736,23737,review,i purchased this as an anniversary gift for my fiancé to upgrade her series 2 apple watch. she really likes the ekg features on the series 5.,5,"[ ' i purchased this a an anniversary gift for my fiancé ' , 'to upgrade her series 2 apple watch . ' , 'she really like the ekg feature on the series 5 . ' ]",0,0,0,0,0,0,0,0,0
737,737,23971,23972,review,i bought this for my mother who doesn't need a fancy apple watch. she was just looking for something to keep track of her steps. great product,5,"[ ' i bought this for my mother ' , `` who doe n't need a fancy apple watch . `` , 'she wa just looking for something ' , 'to keep track of her step . great product ' ]",0,0,0,0,0,0,0,0,0
738,738,24903,24904,review,"i use my apple watch for pretty much everything now. whenever im not near my phone, i can anybody who texts me and can reply through my watch.",5,"[ ' i use my apple watch for pretty much everything now . whenever im not near my phone , ' , ' i can anybody ' , 'who text me ' , 'and can reply through my watch . ' ]",0,0,0,0,0,0,0,0,0
739,739,24945,24946,review,"bought it for a gift turn out great, don't need to spend lots of money. work almost like apple watch with all the features. would recommend.",5,"[ 'bought it for a gift turn out great , ' , 'don ' t need to spend lot of money . ' , 'work almost like apple watch with all the feature . would recommend . ' ]",0,0,0,0,0,0,0,0,0
740,740,25149,25150,review,"i never wanted an apple watch, but i started a new job and it makes it easier-i didn't need the new fancy one, this one does everything i need",5,"[ ' i never wanted an apple watch , ' , 'but i started a new job ' , 'and it make ' , `` it easier-i did n't need the new fancy one , '' , 'this one doe everything ' , ' i need ' ]",0,0,0,0,0,0,0,0,0
741,741,25187,25188,review,this is my third apple watch ... i will say hands down my favorite so far !!! the battery life is sooooo much better than the 3rd and 4th gen!,5,"[ 'this is my third apple watch ... ' , ' i will say ' , 'hands down my favorite so far ! ! ! ' , 'the battery life is sooooo much better than the 3rd and 4th gen ! ' ]",0,0,0,0,0,0,0,1,0
742,742,25222,25223,review,my mom loves her apple watch but she is still trying to get used to it because she is not tech savvy. once she does she may never take it off.,5,"[ 'my mom love her apple watch ' , 'but she is still trying to get used ' , 'to it ' , 'because she is not tech savvy . ' , 'once she doe ' , 'she may never take it off . ' ]",0,0,0,0,0,0,0,0,0
743,743,25284,25285,review,"i had an apple watch 3, and i felt the need to upgrade to apple watch 5, the new feature as ecg, hearing, the alert for falls it's just great.",5,"[ ' i had an apple watch 3 , ' , 'and i felt the need ' , 'to upgrade to apple watch 5 , the new feature a ecg , hearing , the alert for fall ' , `` it 's just great . '' ]",0,0,0,0,0,0,0,0,0
744,744,26021,26022,review,this was my first smart watch and i absolutely loved it. i had it for years before i moved to an apple watch but i would definitely buy again.,5,"[ 'this wa my first smart watch ' , 'and i absolutely loved it . ' , ' i had it for year ' , 'before i moved to an apple watch ' , 'but i would definitely buy again . ' ]",0,0,0,0,0,0,0,0,0
745,745,26124,26125,review,my wife for years used a fitbit on her wrist to check incoming emails. with this apple watch she can now take calls and read emails. loves it.,5,"[ 'my wife for year used a fitbit on her wrist to check incoming email . ' , 'with this apple watch ' , 'she can now take call ' , 'and read email . ' , 'loves it . ' ]",0,0,0,0,0,0,0,0,0
746,746,27404,27405,review,i got this apple watch because i work out a lot. this is really helpful in keeping up with my heart rate and stuff. would definitely recommend,5,"[ ' i got this apple watch ' , 'because i work out a lot . this ' , 'is really helpful in keeping up with my heart rate and stuff . ' , 'would definitely recommend ' ]",0,0,0,0,0,0,1,0,0
747,747,28316,28317,review,"love the apple watch, great addition tomy phone. able to get calls without carrying my phone around. tracks my steps and motivates me to move!",5,"[ 'love the apple watch , great addition tomy phone . able to get call ' , 'without carrying my phone around . track my step and motivates me ' , 'to move ! ' ]",0,0,0,0,0,0,0,0,0
748,748,28334,28335,review,good basic apple watch (series 3). didn't need extra functionality of the series 7 so this had a great price point and on sale $20 below that.,5,"[ 'good basic apple watch ' , ' ( series 3 ) . ' , `` did n't need extra functionality of the series 7 '' , 'so this had a great price point and on sale $ 20 below that . ' ]",0,0,0,0,0,0,0,0,0
752,752,29244,29245,review,i love my apple watch. i own it for a couple of months and so far no issues. i have taken it swimming several times and it works like a charm.,5,"[ ' i love my apple watch . ' , ' i own it for a couple of month ' , 'and so far no issue . ' , ' i have taken ' , 'it swimming several time ' , 'and it work like a charm . ' ]",0,0,0,0,0,0,0,0,0
753,753,29263,29264,review,this is the first apple watch i've ever had and i love this thing didn't think i would use it as much as i do but i'm on it all the time,5,"[ 'this is the first apple watch ' , ' i ' ve ever had ' , 'and i love this thing didn ' t think ' , ' i would use it a much ' , 'as i do ' , 'but i ' m on it all the time ' ]",0,0,0,0,0,0,0,0,0
754,754,29328,29329,review,i have owned several apple watches and this watch puts them to shame! if you are an apple watch fan but looking for something better? try one.,5,"[ ' i have owned several apple watch ' , 'and this watch put them to shame ! ' , 'if you are an apple watch fan ' , 'but looking for something better ? ' , 'try one . ' ]",0,0,0,0,0,0,0,0,0
755,755,29472,29473,review,this apple watch charging magnet was purchased for a friend and she told me she was very pleased with the size and ease of use of this dongle.,5,"[ 'this apple watch ' , 'charging magnet wa purchased for a friend ' , 'and she told me ' , 'she wa very pleased with the size and ease of use of this dongle . ' ]",0,0,0,0,1,0,0,0,0
756,756,29529,29530,review,my son loved his apple watch series 3 ! it is a handsome looking watch ! and does everything it says it does ! i made his christmas very happy,5,"[ 'my son loved his  ! ' , 'it is a handsome looking watch ! ' , 'and doe everything it say ' , 'it doe ! ' , ' i made his christmas very happy ' ]",1,0,0,0,0,0,0,0,0
757,757,29559,29560,review,"i love my fitbit versa 2 smartwatch! it is easy to set up and sync, and the heart rate monitor is especially important to me. highly recommend",5,"[ ' i love my fitbit  smartwatch ! ' , 'it is easy to set up and sync , ' , 'and the heart rate monitor is especially important to me . highly recommend ' ]",0,1,0,1,0,0,1,0,0
758,758,30086,30087,review,been a “faithful” user of other smart watch products and finally decided to give it a try and i can not be more happy with my apple watch!,5,"[ 'been a “ faithful ” user of other smart watch product ' , 'and finally decided to give it a try ' , 'and i can not be more happy with my apple watch ! ' ]",1,0,0,0,0,0,0,0,0
759,759,30300,30301,review,bought this apple watch as a gift for my sister a bday . she loved it. was very happy that my purchase made my sister happy across the miles .,5,"[ 'bought this apple watch a a gift for my sister a bday . ' , 'she loved it . ' , 'was very happy ' , 'that my purchase made my sister happy across the mile . ' ]",1,0,0,0,0,0,0,0,0
761,761,30709,30710,review,"pleased with purchase. it fits well with my apple watch. i ordered three others in different colors, they were delivered fast and i love them.",5,"[ 'pleased with purchase . it fit well with my apple watch . ' , ' i ordered three others in different color , ' , 'they were delivered fast ' , 'and i love them . ' ]",0,0,0,0,0,0,0,0,0
762,762,31087,31088,review,love the bright display in direct sunlight. battery far outlasts the apple watch. the sleep app is great. so many features that actually work.,5,"[ 'love the bright display in direct sunlight . battery far outlasts the apple watch . ' , 'the sleep app is great . ' , 'so many feature ' , 'that actually work . ' ]",0,0,0,0,0,0,0,0,0
763,763,31450,31451,review,perfect for my husbands new apple watch. he does construction work and was worried about his watch being damaged. so far it has help up great!,5,"[ 'perfect for my husband new apple watch . he doe construction work ' , 'and wa worried about his watch being damaged . ' , 'so far it ha help up great ! ' ]",0,0,0,0,0,0,0,0,0
764,764,32503,32504,review,i love the apple watch. very convenient when tracking workouts. i can see all the information on my phone right on my watch. very easy to use.,5,"[ ' i love the apple watch . very convenient ' , 'when tracking workout . i can see all the information on my phone right on my watch . very easy to use . ' ]",0,0,0,0,0,0,0,0,0
765,765,32689,32690,review,i bought this apple watch for my wife. and she said she loves it. she wear it everywhere and love all the features that possible provides her.,5,"[ ' i bought this apple watch for my wife . ' , 'and she said ' , 'she love it . ' , 'she wear it everywhere ' , 'and love all the feature ' , 'that possible provides her . ' ]",0,0,0,0,0,0,0,0,0
766,766,32919,32920,review,my fitbit charge 3 was easy to set-up and easy to use. i like the sleep tracking and steps tracking features. very accurate. highly recommend.,5,"[ 'my  wa easy to set-up and easy to use . ' , ' i like the sleep tracking and step tracking feature . very accurate . highly recommend . ' ]",0,0,0,0,0,0,1,0,1
768,768,33175,33176,review,"love this apple watch band! i wish i had gotten this a long time ago, the color is perfect (not a summer white, but a true off-white, as the \",5,"[ 'love this apple watch band ! ' , ' i wish ' , ' i had gotten this a long time ago , ' , 'the color is perfect ' , ' ( not a summer white , ' , 'but a true off-white , a the \\ ' ]",0,0,0,0,1,0,0,0,0
769,769,33257,33258,review,"love this thing. use it every morning, and keeps it hot till im done drinking my coffee. great and simple app too that works with apple watch.",5,"[ 'love this thing . use it every morning , ' , 'and keep ' , 'it hot till im done drinking my coffee . great and simple app too ' , 'that work with apple watch . ' ]",0,0,0,1,0,0,0,0,0
770,770,33260,33261,review,best apple watch in the market currently! at first i thought it would look big on my wrist but it fits perfectly! battery is amazing! love it!,5,"[ 'best apple watch in the market currently ! ' , 'at first i thought ' , 'it would look big on my wrist ' , 'but it fit perfectly ! battery ' , 'is amazing ! love it ! ' ]",0,0,0,0,1,0,0,0,0
771,771,33325,33326,review,love my apple watch! as always easy to setup and use. great for keeping me active during the day and not having to have phone in hand all day.,5,"[ 'love my apple watch ! a always easy to setup and use . great ' , 'for keeping me active during the day ' , 'and not having to have phone in hand all day . ' ]",0,0,0,1,0,0,0,0,0
