,ReviewID,Page Type,Full Text,Rating
2676,2677,review,"Test Devices: Apple iPod nano (7th generation) Bluetooth 4 Apple Watch Series 5 Bluetooth 5 Apple iPad Pro 3rd Gen Bluetooth 5 End Goal: Going for an outdoor run (9:00 to 11:00 minute pace) while listening to music Results: In 2012 when Apple shipped the iPod nano (7th generation) I had no idea that 8 years later it would still be my gold standard device to use for listening to music while on a run. It's small lightweight form factor fits in my pocket and the wired ear buds work great to keep my music pumping during my runs. There are two areas where the ear buds fall short: sweat and not being wireless. The Skullcandy Sesh Evo's are the 4th Bluetooth device I've attempted to use to solve these two problems after the previous 3 failed. During the first run I paired the Sesh Evo's with my iPod nano and fired up my playlist. The first thing I discovered is that not a single one of the Evo's physical button controls functioned at all. Reaching into my pocket to control the Nano was going to be a point of frustration as I'm used to reaching to the chin control buttons on the earbuds for track skipping and volume adjustments. Frustrating but not the end of the world as most times my playlists don't need to be changed during my runs. I began my pre-run stretch routine and the left ear bud fell out of my ear and rolled a few feet down the concrete. This is not a good start. I brushed it off, readjusted the fit and continued stretching. With pre-warm up done, I began jogging. Within 10 feet the right ear bud fell out of my ear and rolled 3 feet down the asphalt. Not cool. I re-inserted the bud in the ear, made a few more adjustments and I'm back on the run. After another minute of running, I noticed the music was cutting in and out based on how I turned my head. I look right, I lose audio. I look down I lose music. I look up and the right ear bud falls out again. This run is not going well. The Evo's come with several different size rubber tips so I turned around and went back inside to try a different fitting. I found a size that felt more snug. I head back out, this time I made it 2 miles before the right ear bud fell out again and rolled almost 10 feet down the hill. At this point I should call out that I sweat. A lot. Especially during longer runs and in several half-marathons over the years my ear pods will collect enough sweat to stop working temporarily. Water resistant ear buds are something I need. So I'm now standing on the side of the road trying to figure out if they are falling out because my ears are sweating or if it's because I'm not inserting them properly. I imagine the people who live in the house I'm now in front of making odd jerking motions with my head were rather confused. I found that tilting my head forward or sideways results in the right bud falling out of my right ear almost every time yet the left stays in place. I resume running when I think I've finally found the magic position to keep these things in. Now I can focus on seeing if I can figure out why the music keeps cutting in and out. I make it about a hundred yards and the right ear bud decides to make a run for it down the hill. At this point I give up on the Evo's, shove them in my pocket and finish my workout with no music. After a shower I spend a bit more time trying out the different tips and seeing how hard I can shake my head, how far I can tilt my head forward and sideways before they fall out. My girlfriend who sees me attempting this in front of the mirror is in tears laughing. I learn if I twist them in just the right way, they stay in with these forced motions. I head over to Skullycandy's website where they have a video showing the proper way to insert them and am happy that this is what I'm doing. I have hope tomorrow's workout will be better. That night I paired the Evo's to my iPad Pro. This time the use case was to watch a movie, and give FaceTime a try. The iPad is a Bluetooth 5 device which meant that all of the physical easy control buttons on the Evo will function. While the documentation says they are easy, in practice I found them uncomfortable to use. It actually hurts my ears to press the buttons, especially for controls like Volume Down where you have to press twice. Changing EQ Modes was brutal and what I ended up doing to get through it was to remove one of the ear buds and make the changes while it was out of my ear, then go through that awkward insert and twist motion to reposition it. I'm used to Over the Ear wireless headphones for this use case so my frustration is mounting. Once again I find using the device to control the experience is better than trying to use the Evo's directly. In short, insert them, then try not to touch them. For the Day 2 run, I decide to pair them with my Apple Series 5 Watch. I sync some music directly to my watch and go for a run. I'm pleased to find the music is playing smoothly and is not cutting in and out like the previous day confirming what I thought: Bluetooth 5 device connected to a Bluetooth 4 device is just not a good experience. While on my run I tried changing tracks and that right ear bud decided to go for a run of its own down the hill again. I'm thankful this neighborhood doesn't have drain pipes. Back in my ear and back on the run, I try again. It hurt. In hindsight pressing buttons multiple time that are lodged in your ear is just not a good idea. I'm now holding my wrist up to use the controls on the Apple Watch to adjust volume or change the music. I'm trying to find the positive and I keep thinking to myself: look ma - no wires! I finish the workout; this time the Evo's only fall out twice. Back home, and sitting at my desk, I connect the Evo's back to my iPad Pro and spend a bit of time experimenting with button pressing. I never can find a way to press the button that doesn't hurt my inner ears. I content removing one, making adjustments and putting it back in is the better method, but that's really annoying. I'm going to give them another shot tomorrow, again paired with the Apple Watch. I did enjoy not needing the Nano in my pocket, I just need them to stay in my ears for the whole journey.",2
2707,2708,review,"Yes, this watch is worth $99, which is what I paid for it. I would have been disappointed if I had paid $100. Don't think I will ever buy another Fossil watch. If you buy it, good luck. It's not a great watch. It's not a terrible watch. It is barely a Smartwatch. If you purchase this ""watch"", be prepared for... 1. a sloooooow operating experience. 2. a depressing battery life. 3. moments wondering if it will ever start back up after the battery dies and you place it on the charger. Good things about it...hmmm...give me a minute...hmmm...it's not as ugly as the Apple watch. I bet the Apple watch would run laps around this ""watch"" with 90% of its processor burnt out. Best advice: Buy a Seiko.",2
2830,2831,review,"I bought the Fitbit Charge 5 with the hope of tracking my sleep patterns, exercise activities, and basic some vital signs throughout the day. In using it I found the sleep tracking feature to be unreliable and inaccurate. Particularly annoying was its inability to always distinguish short wake times as part my night's sleep cycle. For example, I go to sleep at 11:30pm and wake up at 2:30am. I may or may not actually get up, but go back to sleep at 2:50am. The next morning the tracking data says I began my sleep cycle at 2:50am and completely ignores my first three hours of sleep! What's worse was that sometimes it recognized the awake time as part of a larger sleep cycle and sometimes it didn't. Explanations of how it collects data are pointless. It either has the ability to do it under real life circumstances or should it not claim that it does. I also had a problem with the blood oxygen feature display either not visible or not working. In speaking with customer support I found out that the blood oxygen feature only works during sleep cycles. There were other features that worked OK, but the sleep tracking problem was a deal breaker. I returned the device after 10 days for a full refund. Reason: Did not work as claimed.",2
3245,3246,review,"Great battery life, good step tracker, horrible for tracking sleep. Last night's report says I slept from 10:53 p.m. till 12:24 a.m. then from 1:25 a.m. till 7:41 a.m., then from 9:59 p.m. till 11:11 p.m., then from 1:38 a.m. till 8:31 a.m. Obviously totally out of whack, and it happens all the time! I usually go to bed around 10:30 and go right to sleep. Many nights my FitBit says I didn't fall asleep until 1:00 or 2:00 in the morning. My FitBit Versa 1 had the same problem. When the battery died and FitBit gave me an accommodation price on the Versa 2, I hoped it would work better. It doesn't. Oh, and in addition to my original FitBit Versa 1, I've had to replace two FitBit 2s because of dead batteries. Next time this one dies, it will be out of warranty. I don't think I'll go for the accommodation price for the next generation. :-(",2
3479,3480,review,"If all you need is a watch with a great band, you'll like it. As for keeping track of your sleep, it skips some nights completely, some nights it begins tracking anywhere around 2:00 am to 4:00am when I'm asleep before midnight (I'm on a Cpap machine so know I was asleep) and some nights it tracks it correctly. It doesn't keep track of your steps unless you are moving your arm so if you are pushing a cart or holding something in that arm it will not record those steps. The most frustrating of all is that it constantly disconnects from Bluetooth and I can't get it to connect without calling Fitbit for help. When I first got it I was able to check the weather, etc. when I was out but now have to check with my friend who has an apple watch which never disconnects. I would have purchased an apple watch but have an android cell phone. I see the Sense is now at a much better price which would have helped with all of the time I've spent trying to get this to work as a smart watch not a dumb one. On the plus side it does charge quickly and the battery charge does last longer than the apple watch. Also, the heart rate and SPO2 seem to be accurate. I now have to call Fitbit to get help to again connect to Bluetooth!!",2
3525,3526,review,"I was not able to get this product to fit on my Fitbit Charge 5. should have been an easy switch over, but it just would not stay put.",2
3620,3621,review,"First, the Fitbit Charge 4 itself is a nice piece of hardware. The GPS is quite accurate and faithfully records your exercises. My problem is the very poor software/app that goes with this device. First, you don't get all the functionality, but rather must pay a monthly subscription fee to 'get it all'. No thanks. Second, good luck getting your device to sync so you can actually use the software. I'm sitting at my desk waiting for the app to 'sync'. It last synced at 8:15. It is now 11:45 and I've been out walking ... for at least 3 miles and pushing an hour. Back home for about 30 minutes .... still waiting to sync. And by the way, THERE IS NO MANUAL SYNC on the Windows desktop app. NONE. I give the hardware 5 stars, the software a 2. Get your act together Fitbit, your software is pathetic.",3
3902,3903,review,"I listen to a lot of music and I have been wowed by headphones before. Back in the day with my walkman I used to use headphones with foam covers and would be wowed by the bass. Pros: 1. Integrates very well with the apple ecosystem: Siri, notifications, Apple Watch, etc all simply just works! 2. Battery life is not too bad 3. looks like a tic tac 4.The AirPods seem best suited for talking rather than listening to music. 5. Noise cancellation is quite good. the con: 1. Note: just an average music listener, I was not impressed with the sound quality. 2. tried on different bud sizes but after 15mins my ears hurt 3. The low frequency sounds (bass) not very impressed. 4. Not enough options with the haptic clicks (Siri, choose between play,pause,next,prev,volume) 5. When talking, mic picks up a lot of background noise, though the noise Is cancelled for me, but the other end of the line can hear the same noise. I would not buy this again",3
4366,4367,review,"Overall the watch functioned well in measuring activities. However, the bluetooth connection distance was very limited, often failing to stay connected one room away. After investigating why there was no bluetooth connection icon displayed on my phone, I discovered that Fitbit apparent uses a low energy bluetooth with a documented range of UP TO 30 feet. The actual range I achieved was about half of that. My basis of comparison for bluetooth connection distance was my Samsung Active Watch 2. which stays connected even as I range about the yard. I am returning the Fitbit Versa 2.",3
4834,4835,review,"I have been using this for a week now. I want my Apple watch back. The battery barely makes it 8 hours. I don't even have this watch tracking all my health things that it is set up for. I only use it for time, and tracking exercise. I do two walks a day, totaling 60 mins. I turn it on at 5:30 am, and by the time I got home at 3:20pm, it needed to be charged. My Apple watch would last 10 hours under the same conditions. There are a lot of apps on the watch that I don't want, and have not been able to remove. I am probably going to go back to Apple after a year.",3
4896,4897,review,"So you decide to drop close to $500 on a sport watch because of all of the hype surrounding it. Then you find out, the hype is just that HYPE and nothing more. I own a Garmin Instinct Tactical that I like WAY better than this over priced boat anchor. 1. I have to use a monochrome watch face in order to see anything because all color faces are washed out. 2. Music from the watch is horrible - Bluetooth cuts in and out constantly. 3. It's big and heavy. 4. likely 99% of people who buy this watch will only use 10% of it's functionality. 5. It's over priced in today's market. In my opinion, and that's what a review is, I would purchase the Garmin Instinct in what ever flavor you like saving yourself a bunch of money, getting a more stable and usable platform and being able to read the face both indoors and out ALL OF THE TIME.",3
4958,4959,review,"I was a big fitbit guy back in 2015/2016, but after replacing it three to four times in a single year I needed something better. I've been using an Apple Watch for some time now and it is very ""meh"" in the fitness department and I won't wear something that bulky to track sleep. Wife got me the halo thinking it would be a nice surprise X-mas gift (she's great!). Wore it for about four months and unfortunately had to give it up. First, it's just flat out uncomfortable. There was some skin irritation but it did not last long. During the day, I was constantly adjusting it; I could feel every bit of the hard plastic through the band. At night it would drive me crazy and sometimes keep me up, so there were nights where I would not wear it at all. For the activity measurement part, it seemed ""ok"". Point tracking system is easy, and the sedentary hours did motivate me to get off my butt sometimes. Sleep measurement was mind boggling. I am a chronic insomniac; I have a hard time falling asleep, and I typically wake up almost every night around the same time but do eventually go back to sleep. This device would say, every night, I fell asleep in less than 10 minutes....even though I was still awake. Apparently if I am just stationary for a while, say, reading a book, my heart rate drops (I have a low resting heart rate) and I'm apparently asleep, at least according to the device. To make matters worse, when I would wake up at 2:30 or 3:00 in the morning, get out of bed, and sit on the couch and read for a bit, the device would not even register it. I usually am back in bed within an hour or so, then get up at 5:30 to start my day. The device, though, would tell me I had no interruptions. Really? You can't detect when someone is literally getting out of bed? Or in bed, awake, reading a book? Voice recognition...this is not something that I knew anyone needed. This did seem pretty accurate. People often tell me I sound a certain way, and this device confirmed it. That being said, it absolutely devours battery life; better left off, I say. I'm sure the device is great for some folks, but not for me. The body mass aspect seems great, and people could probably relax a bit; nobody is sending naked ""pictures"" of you anywhere. I did not pay any attention to any of the multitude of fitness programs the app kept tossing at me (almost like advertisements.....hmmm) so I can't comment on that. If you want a device that tracks your steps (and does so generously, as it seems to always 10-15% more than I actually did), I say go for it. For the sleep aspect, look at another device. Also would not pay $100 for this, not in its current state. Needs an update/new version.",3
5029,5030,review,"When I do the Interval training feature under exercise it stops after about 9:30 min. Don't know why it doesn't just track your calories, heart rate, etc. Instead it focuses on Zone minutes. Tracking your workouts is a little faulty in general. If you are tracking your workout you can't go back to the home screen, or any other screen, to use other features like timer or just see the time on the watch face.\n\nIf you want to save some money its not a bad idea, but the apple watch I had beforehand made a lot more sense for tracking my training sessions.",3
5242,5243,review,"I just switched from the Sense to the Garmin Lily and thought I’d share my comparison between the two. Things the Sense does better: - Both have a silent vibrating alarm. The Sense’s snooze is 9 minutes, which seems weird to me but whatever. The Lily’s is 10. What the Sense does better, though, is that it updates the time on your wrist when it goes off again after being snoozed. So if your alarm goes off at 6 am, and you hit snooze, when it goes off again the watch reads 6:09. I appreciate the running update on how long I’ve been snoozing for. On the Lily, it shows the original alarm time, every time. So if I hit snooze 3 times it will still say “6:00 alarm” when it goes off, even though it’s really 6:30. - Because the screen is bigger, you can read more of the content of your text message notifications than you can on the Lily. Also, because the Lily’s screen is smaller, sometimes the notifications get partially covered up by the options to clear or respond to them. So notifications on the Sense are easier to read. - The Sense syncs with your phone’s silent and Do Not Disturb settings, which I appreciate. If your phone isn’t vibrating or making noise, the Sense won’t vibrate either. With the Lily, you have to set the watch to be on Do Not Disturb separately, or it still vibrates when your phone gets notifications. - The Lily’s vibration is LOUD. It’s pretty noticeable in a quiet room, so if your phone is blowing up and you’re in a meeting it’s a little awkward. I’m also not sure how good the actual vibration sensation on the Lily is… Sometimes I feel like I hear it going off more than I feel it. The Sense seemed much quieter and more subtle, and I felt it rather than heard it. - You can respond to texts/calls on the Sense. You can actually talk to someone who calls you using the Sense, and you can use voice-to-text to send a tailored text message response. The Lily only offers stock responses. - Sleep tracking. Fitbit is well known for offering the most detailed, most accurate sleep tracking. - More features. But will you use them? Things the Lily does better: - It’s GORGEOUS. I feel like I’m wearing a piece of art on my wrist! The Sense is… fine? It looks like a nice fitness watch, but that’s all I can really say about it. - SO lightweight. I didn’t realize how heavy the Sense was until I put on the Lily. That being said, since I didn’t notice the Sense being heavy until I switched, it obviously didn’t bother me much. - The Lily is much smaller. Check out the side-by-side comparison pictures. Enough said. I have a tiny wrist, and Fitbits have always looked and felt bulky on me. The Lily fits me better in every way. - Garmin has an excellent app that provides very detailed information at no extra cost to the user, unlike Fitbit, where you need the $10 per month subscription to access all of the features. Which you do actually need in order to benefit from some of the Sense’s advertised options, like stress tracking. You can’t see details about your stress rating without Fitbit Premium. If you add $10 per month, the Sense becomes an even more expensive watch than its already high list price. - Garmin’s tracking results are a lot more extensive, in pretty much every domain they track. I think it’s cool how much data I can see. Not everyone might want to have that much information, but I think it’s great. IMO, it blows Fitbit’s app away. For example, you can track specific movements with Garmin (like you can tell it you were doing deadlifts or sit-ups or leg raises, and how many reps you did of each – the list of options is huge. It will even auto-populate what muscle groups you worked in strength training. At one point, the exercise recognition feature figured out I was doing push-ups and jumping jacks without me telling it, which was neat! - It’s a lot cheaper and does most things you need in a smart fitness watch. Ultimately, for me, choosing between the Sense and the Lily came down to the fact that 1) the Lily looks way prettier and more professional and 2) I rarely use all of the advanced health features the Sense offers. I only really need text/call notifications, a morning alarm, and fitness tracking. Why pay $100+ more for features I don’t even use? My advice would be that if you’re thinking about spending the money on the Sense, think about whether you’ll even use all of the special features it offers. Personally, I’m glad I made the switch. There’s nothing wrong with the Sense, but as always, it comes down to what’s important and what features you’ll actually benefit from, whether those features involve looks or function. 4.0 out of 5 stars Comparison: Fitbit Sense vs. Garmin Lily By H Clark on May 24, 2021 I just switched from the Sense to the Garmin Lily and thought I’d share my comparison between the two. Things the Sense does better: - Both have a silent vibrating alarm. The Sense’s snooze is 9 minutes, which seems weird to me but whatever. The Lily’s is 10. What the Sense does better, though, is that it updates the time on your wrist when it goes off again after being snoozed. So if your alarm goes off at 6 am, and you hit snooze, when it goes off again the watch reads 6:09. I appreciate the running update on how long I’ve been snoozing for. On the Lily, it shows the original alarm time, every time. So if I hit snooze 3 times it will still say “6:00 alarm” when it goes off, even though it’s really 6:30. - Because the screen is bigger, you can read more of the content of your text message notifications than you can on the Lily. Also, because the Lily’s screen is smaller, sometimes the notifications get partially covered up by the options to clear or respond to them. So notifications on the Sense are easier to read. - The Sense syncs with your phone’s silent and Do Not Disturb settings, which I appreciate. If your phone isn’t vibrating or making noise, the Sense won’t vibrate either. With the Lily, you have to set the watch to be on Do Not Disturb separately, or it still vibrates when your phone gets notifications. - The Lily’s vibration is LOUD. It’s pretty noticeable in a quiet room, so if your phone is blowing up and you’re in a meeting it’s a little awkward. I’m also not sure how good the actual vibration sensation on the Lily is… Sometimes I feel like I hear it going off more than I feel it. The Sense seemed much quieter and more subtle, and I felt it rather than heard it. - You can respond to texts/calls on the Sense. You can actually talk to someone who calls you using the Sense, and you can use voice-to-text to send a tailored text message response. The Lily only offers stock responses. - Sleep tracking. Fitbit is well known for offering the most detailed, most accurate sleep tracking. - More features. But will you use them? Things the Lily does better: - It’s GORGEOUS. I feel like I’m wearing a piece of art on my wrist! The Sense is… fine? It looks like a nice fitness watch, but that’s all I can really say about it. - SO lightweight. I didn’t realize how heavy the Sense was until I put on the Lily. That being said, since I didn’t notice the Sense being heavy until I switched, it obviously didn’t bother me much. - The Lily is much smaller. Check out the side-by-side comparison pictures. Enough said. I have a tiny wrist, and Fitbits have always looked and felt bulky on me. The Lily fits me better in every way. - Garmin has an excellent app that provides very detailed information at no extra cost to the user, unlike Fitbit, where you need the $10 per month subscription to access all of the features. Which you do actually need in order to benefit from some of the Sense’s advertised options, like stress tracking. You can’t see details about your stress rating without Fitbit Premium. If you add $10 per month, the Sense becomes an even more expensive watch than its already high list price. - Garmin’s tracking results are a lot more extensive, in pretty much every domain they track. I think it’s cool how much data I can see. Not everyone might want to have that much information, but I think it’s great. IMO, it blows Fitbit’s app away. For example, you can track specific movements with Garmin (like you can tell it you were doing deadlifts or sit-ups or leg raises, and how many reps you did of each – the list of options is huge. It will even auto-populate what muscle groups you worked in strength training. At one point, the exercise recognition feature figured out I was doing push-ups and jumping jacks without me telling it, which was neat! - It’s a lot cheaper and does most things you need in a smart fitness watch. Ultimately, for me, choosing between the Sense and the Lily came down to the fact that 1) the Lily looks way prettier and more professional and 2) I rarely use all of the advanced health features the Sense offers. I only really need text/call notifications, a morning alarm, and fitness tracking. Why pay $100+ more for features I don’t even use? My advice would be that if you’re thinking about spending the money on the Sense, think about whether you’ll even use all of the special features it offers. Personally, I’m glad I made the switch. There’s nothing wrong with the Sense, but as always, it comes down to what’s important and what features you’ll actually benefit from, whether those features involve looks or function. Images in this review",4
5331,5332,review,"Pros+ Battery last 4 days, GPS set to Dynamic mode: day 4 without charging I woke up look my fitbit and it says battery low even with that message your Fitbit will provide your stats in the app, so I wake up at 10:06 am I look the fitbit app and it says the same thing I woke up at 10:06 am very accurate, battery was at %6 or %8 percent. +Weather +Fitbit Pay? anyways you can go and pay at none rural area stores -Cons -You can barely see the screen at sunlight... find a tree or cover you Fitbit with your hand or hat if you want to see your clock or data. Good piece of tech for persons that want to track sleep and also for people that they don't want to use their smartphone for a walk or run cause have GPS built-in. If you want pay with a wearable that works like %98 everywhere go for a Samsung wearable, Samsung Pay works like %97 everywhere, Fitbit pay works basically like Apple pay they work most of the time at stores near Stadiums or University's or Casinos The only thing that prevent me to give this Fitbit 5 stars is the screen... hopefully the Fitbit Charge 5 should fix the sunlight problem",4
5830,5831,review,"Having sifted through the numerous reviews for the Amazon Halo, I decided to throw my opinion into the fray. The Amazon Halo is Amazon's first attempt at a wearable health tracking device and for a first attempt it's an above average product. Having worn the bad for roughly 2 months, here is my experience. Sleep 4/5: My biggest concern when applying for the beta testing was the idea of wearing something on my wrist when sleeping with concerns of it being more of an annoyance preventing me to sleep rather than being a helpful tracking device; I was wrong. That isn't to say that it's 100% unnoticeable but it since day 1 I have not had any significant issues with wearing the Halo while sleeping. I wear it a bit looser while sleeping to provide some give and the fit is 100% customizable thanks to the velcro strap. The tracking itself is average I would say, having had a few nights with nightmare issues the Halo recognized these as disturbances in my sleep and this was reflected in my overall sleep score. On a side note, seeing that you received a high score is almost like a cup of coffee in the morning. A pseudo-side effect I'm sure but mind of matter, right? I will say that the sleep tracking presents you with the most basic of information, if you are looking for in-depth analysis then the Halo is not for you. Exercise 3/5 - Like sleep, it will present you will the most basic of information such as heart BPM, step counter, total time and the intensity of the workout. The issue I see for many is that the data is not readily available on your wrist. For me, this was advantageous as I did not want another notification machine on my wrist as I have with my Apple Watch (which I wear opposite of the Halo). With a lack of in depth analysis and the user having to use a separate device (your phone) to access the data the Halo is collecting, I can understand why this would be an issue for some. I personally like the Halo not having a screen but admittedly the data available is rudimentary that most smart phone come with already. Tone 3/5 - Unfortunately, I view this as more of a gimmick than a feature to be taken serious at this stage. I was initially really excited about this feature and interested to see what ""others hear"" while I'm speaking. My problem here is that some days I have 3 ""notable moments"", other days I'm in the high 30's. The reason I see this as an issue is my days are fairly routine with the same type of interactions day in and day out. The other aspect of this is the way the data is presented. Now I understand the fear of voice recordings and privacy concerns (although let's be honest, we all have willing put microphones and cameras in our pockets and our homes) but to say I was ""curious"" at 9:10AM for 5.1 seconds gives me nothing to work of off to improve my tone. The best this feature can achieve is providing you general data on your tone for the day which has its value but once again do not look for in depth analysis. I will say it is fun to joke around how ""amused"" your tone is when you are speaking your friends when compared to how ""irritated"" your tone is when with your girlfriend! Body Scans 4/5 - This is the tough pill to swallow in all of this and something most of us probably did not have access to on a regular basis and this might very well be the crowing feature of the Halo. The Halo will ask you to take photos of your body (Amazon says they are secure and to not worry but who really knows, you are already sending nasty stuff to the person you met on Tinder so what's the difference) and based of these photos the app will calculate your Body Mass Index or BMI which is consider to be a more accurate deciphering of your health. The app will calculate your body fat percentage and based off your weight, height and age will determine if you are in a healthy range. Most of us know we can do better and the app isn't shy when it comes to the truth, its really what we do with this data that will determine how much value the Halo brings into our lives. I gave this 4/5 because I cannot compare this to what a medical professionals scan would result in but it seems accurate. All Other Aspects 4/5 - The design of the Halo itself is sleek and simple with just a single button. Other devices might give you more in depth, real time analysis but with screens and notifications they can be overwhelming. I have read some reviews where the user says the band is not secure and the metal case of the device ""slams into my wrist bone""... First off this made me laugh as the device weighs close to nothing and couldn't possible produce a slamming effect on the most sensitive of individuals but more importantly the bands are very secure and unless worn intentional loose will be fine. There are a variety of colors of bands to choose coming in both a fabric and silicon. The fabric cleans easily as we all as the silicon. I think they are a bit expensive but I would suggest purchasing a silicon strap for intense work outs as to not dirty the fabric strap. Most are currently showing a 4-6 week shipping time frame. Uncharacteristic of Amazon but with the ongoing pandemic I'm sure production and shipping deadlines were thrown out the window. The app itself has many cool features such as a myriad of labs (weekly experiments and challenges to push you to sleep or exercise more efficiently) to choose from in the discover tab. There is also a live feature where you can get real time tracking on the tone of your voice and your current BPM. The charging clip is a bit of an oddity and not as easy to use as others. The clip has to fit just write for the Halo to charge properly and there is nothing within the clip itself to line up the device with the charger. Some days you can take 30 seconds just trying to line up the device so it begins to charge. This is probably the biggest hardware issue with the Halo and is absolutely something Amazon needs to reimagine. The battery life lasts about 2 days but will drain much faster if the microphone is always active. Another aspect of the device that Amazon will have to look into if they continue to push Tone as a key feature in the 2.0 version as key features shouldn't have such a detrimental effect on the battery life. My girlfriend turned her microphone off and the device lasted for 4 days with no charge! For $100, the Amazon Halo is not a bad choice for those looking for basic health tracking information and a way to motivate you to get your steps in. The data does not provide a lot of depth and for first attempt the Halo does many things above average. It's a fun, inexpensive device that I wear and check in daily. I would recommend it if you are looking for general info or are new to the wearable device game. Could also be a good device for children to teach them the importance of health and exercise since the app is pretty straight forward and uncomplicated, the no screen feature will prevent distractions during school time. As with anything else, the value will really be how you use it and what you do with the information is provides.",4
7065,7066,review,"1. The design is identical to an Apple Watch. And that's why it's called the \u201cApple Watch of Android\u201d. 2. The screen has excellent contrast and brightness. Stunning viewing capability on sunny day outside. 3. Always-On-Display is simply amazing. 4. It's comfortably light weighted. 5. Fitbit is great in analyzing your health related data. 6. Various Third-party apps are coming forward for Fitbit interfaces like Spotify, Uber, Starbucks etc. Its no full but have a potential consider Google's acquisition. 7. There is no speaker. Alexa can't prompt answer to your questions, instead it answers in text. 8. This one is claimed to be water-proof. 9. Some other features like the Relax app, movement reminders and step counters are all very useful. There are other exercises and work out trackers also. 10. The other heath features like activity trackers, heart rate, distance travel, calories burned are all mostly accurate and effective. Fitbit made it very user-friendly. 11. one should easily get around 3 days of battery life. May be more if on low usage.",4
7108,7109,review,"Great design, better auto activity detection than Apple Watch 5. not a lot of apps in the store. The packing could be better consider the price.",4
7177,7178,review,"just got first gps + health stat watch. i've run for decades and never had one (I have indestructible casio g shock). after one run with a friend's apple watch as a trial, I bought a venue sq. if you are active, this will immediately be seen as essential once you try it. considered apple, but decided to go garmin instead. the Venu SQ (no music) is great so far. some of the other models available seemed like they would be too large on my wrist. this is almost apple watch sized, so it's a direct alternative. i chose garmin so I can use an independent platform (strava) + the garmin network. It may ultimately prove a 5 start in a month or two - after some activities get logged, I'll see how easily that goes. I also considered forerunner 745. that watch seems better if you want more stats and run frequently. i thought it was too much for a first watch. maybe i'd upgrade in a few years to a forerunner, but for now, this is the ideal intro to this type of watch and all it can tie into for logging your workouts.",4
7220,7221,review,Fits nice on the fitbit charge 3. but after a month or so the corners start to lift. you can reseal them but eventually they start lifting again.,4
7934,7935,review,"I tried the setup while indoors, and was only partially successful. Once I walked outdoors, the satellite located the Garmin Approach G10 very quickly. The clock finally moved from 12:00 and set itself automatically. I'm amazed at all the features. The screen is smaller than I expected. The software update took almost 20 minutes.",4
8335,8336,review,There's only one problem with this.... At midnight the watch says 00:00. Instead of 12:00. So if it's 12:30 at night it says 00:30. I have noticed this same problem with 3 other smart watches of different brands. I'm not sure why they have this one main glitch. The watch gets updates so im sure it can be fixed with the correct update but it just kind of annoys me. If a watch cost so much money the main thing it should get right is the time! All 3 watches I've tried for Android have this problem. The apple watch does not have this problem. I was even curious as to why noone else had mentioned this defect in any reviews I've seen on YouTube. It seems like a big thing that a watch maker should get right 1st before they start any other fansy stuff. I still like this watch and I own it. Just be aware of it's main flaw. I'm hoping they will fix it soon. As of now the time is still not correct,4
8643,8644,review,"First, I want to point out (as I stated in the title), this is NOT a smart watch, by any means. It has some similar features (i.e., the ability to receive notifications from your phone, like texts), but by no means should someone wanting all the features a smart watch offers seriously look into this item, as you will be disappointed.\n\nThat disclaimer being said, I wasn't expecting much, and was pleasantly surprised by the accuracy of the stats compared to my Apple Watch. I tested them by wearing one on each wrist when I went out for a several mile walk with my dog, and all of the stats (steps, calories, heart rate, etc) were all either identical or negligibly different (which could've been caused by the way I swung my arms or if I was holding the leash with one arm more than the other). The only issue I had with accuracy was tracking sleep. On multiple occasions, the Halo View tracked sleep much longer than I had been asleep (or even in bed) in the morning, and was up to 2 hours late in starting to track sleep, saying I had fallen asleep after 2am, yet went to bed at 11:30 and was asleep by midnight. I don't currently sleep with my Apple Watch, so I can't speak to the accuracy versus that device, but I do use the Sleep Cycle app, and when I compared the data from the Halo View to the app, there were several discrepancies beyond the start and end of sleep.\n\nFor the TL;DR crew:\nPros\n* battery life is great!\n* notifications are available on the Halo View from your phone (but you're unable to reply or really do anything with them but read them)\n* accuracy of movement data + heart rate is excellent!\n\nCons\n* somewhat difficult to put on tight enough to get a good reading, but got easier with use\n* charger can be difficult to line up with the device (or maybe I've just been spoiled by the way the Apple Watch charges) \n* issues with accuracy for sleep tracking (see above for details)\n* it might just be the way I sleep, but the home button on the Halo View (and thus the vibration from hitting the home button) was hard to get used to and I kept setting it off in my sleep",4
